Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,SAO ROMAO,140,1.28,1.2,0.29,0.8,2.2,14,9.09
automatica,SAO SEBASTIAO,23,3.18,3.2,0.4,2.5,4.0,31,57.41
automatica,SAO SEBASTIAO DO PARAISO,92,1.75,1.7,0.18,1.4,2.2,19,17.12
automatica,SAO SIMAO,158,1.82,1.85,0.55,0.0,3.4,60,27.52
automatica,SAO VICENTE DO SUL,94,3.2,3.2,0.49,2.2,4.3,9,8.74
automatica,SAPEZAL,71,2.79,2.9,0.43,1.9,3.7,14,16.47
automatica,SAQUAREMA - SAMPAIO CORREIA,101,1.77,1.7,0.31,1.2,3.0,9,8.18
automatica,SENHOR DO BONFIM,127,2.7,2.9,0.82,0.0,4.0,27,17.53
automatica,SERAFINA CORREA,101,1.24,1.2,0.14,0.8,1.6,3,2.88
automatica,SEROPEDICA-ECOLOGIA AGRICOLA,154,1.95,1.9,0.36,1.1,2.8,0,0.0
automatica,SERRA DOS AIMORES,132,2.71,2.6,0.5,1.9,3.9,22,14.29
automatica,SERRA DOS CARAJAS,75,2.79,2.8,0.46,0.0,3.7,79,51.3
automatica,SERRA NOVA DOURADA,33,2.75,2.6,0.5,2.0,3.8,35,51.47
automatica,SERRA TALHADA,125,2.44,2.4,0.5,1.5,3.7,29,18.83
automatica,SERRINHA,117,2.75,2.8,0.4,2.1,3.6,37,24.03
automatica,SETE LAGOAS,71,1.92,1.9,0.31,1.4,2.8,30,29.7
automatica,SETE QUEDAS,120,1.67,1.9,1.01,0.1,3.6,34,22.08
automatica,SIDROLANDIA,115,2.07,2.1,0.29,1.5,2.9,39,25.32
automatica,SILVA JARDIM,106,1.28,1.3,0.24,0.8,2.0,5,4.5
automatica,SILVANIA,149,1.07,1.1,0.23,0.6,1.7,5,3.25
automatica,SINOP,96,1.74,1.7,0.3,1.1,2.6,58,37.66
automatica,SOBRAL,116,1.62,1.65,0.96,0.1,3.4,38,24.68
automatica,SOLEDADE,139,3.82,4.0,0.81,1.7,5.7,15,9.74
automatica,SONORA,121,3.25,3.2,0.44,2.4,4.4,23,15.97
automatica,SORRISO,119,1.24,1.5,0.78,0.0,2.7,35,22.73
automatica,SOURE,92,2.29,2.4,0.92,0.1,3.8,62,40.26
automatica,SURUBIM,112,2.87,3.2,1.26,0.0,4.7,42,27.27
automatica,Santa Vitoria do Palmar - Barra do Chui,134,4.94,5.0,0.63,3.5,6.2,20,12.99
