Tipo_Estacao,Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Precipitacao_total_mensal_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Pressao_atmosferica_media_mensal_mB,Pressao_atmosferica_nivel_mar_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_media_mensal_auto_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
automatica,01/01/2012,31/10/2024,31/12/2016,Mensal,BRASILIA,Operante,A060,-1578944444.0,-4792583332.0,1160.96,,,,,,,,16.0,171.2,,886.1,,,,,22.0,,,7.7,,2.5,,
automatica,01/01/2012,31/10/2024,31/01/2017,Mensal,BRASILIA,Operante,A061,-1578944444.0,-4792583332.0,1160.96,,,,,,,,15.0,143.8,,886.5,,,,,22.3,,,7.3,,1.9,,
automatica,01/01/2012,31/10/2024,28/02/2017,Mensal,BRASILIA,Operante,A062,-1578944444.0,-4792583332.0,1160.96,,,,,,,,19.0,242.6,,886.4,,,,,21.3,,,6.3,,2.2,,
automatica,01/01/2012,31/10/2024,31/03/2017,Mensal,BRASILIA,Operante,A063,-1578944444.0,-4792583332.0,1160.96,,,,,,,,16.0,178.0,,886.6,,,,,22.1,,,7.3,,1.8,,
automatica,01/01/2012,31/10/2024,30/04/2017,Mensal,BRASILIA,Operante,A064,-1578944444.0,-4792583332.0,1160.96,,,,,,,,7.0,25.4,,887.4,,,,,22.4,,,5.2,,2.2,,
automatica,01/01/2012,31/10/2024,31/05/2017,Mensal,BRASILIA,Operante,A065,-1578944444.0,-4792583332.0,1160.96,,,,,,,,10.0,64.2,,888.4,,,,,20.9,,,5.8,,2.1,,
automatica,01/01/2012,31/10/2024,30/06/2017,Mensal,BRASILIA,Operante,A066,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.8,,,,,19.7,,,6.1,,2.5,,
automatica,01/01/2012,31/10/2024,31/07/2017,Mensal,BRASILIA,Operante,A067,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,892.2,,,,,17.6,,,7.7,,3.3,,
automatica,01/01/2012,31/10/2024,31/08/2017,Mensal,BRASILIA,Operante,A068,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,888.8,,,,,21.8,,,6.7,,2.4,,
automatica,01/01/2012,31/10/2024,30/09/2017,Mensal,BRASILIA,Operante,A069,-1578944444.0,-4792583332.0,1160.96,,,,,,,,1.0,10.0,,889.5,,,,,21.9,,,6.8,,3.2,,
automatica,01/01/2012,31/10/2024,31/10/2017,Mensal,BRASILIA,Operante,A070,-1578944444.0,-4792583332.0,1160.96,,,,,,,,7.0,36.0,,886.3,,,,,24.6,,,6.2,,2.7,,
automatica,01/01/2012,31/10/2024,30/11/2017,Mensal,BRASILIA,Operante,A071,-1578944444.0,-4792583332.0,1160.96,,,,,,,,20.0,328.8,,885.1,,,,,21.5,,,9.1,,2.3,,
automatica,01/01/2012,31/10/2024,31/12/2017,Mensal,BRASILIA,Operante,A072,-1578944444.0,-4792583332.0,1160.96,,,,,,,,22.0,263.0,,885.3,,,,,21.4,,,5.9,,2.1,,
automatica,01/01/2012,31/10/2024,31/01/2018,Mensal,BRASILIA,Operante,A073,-1578944444.0,-4792583332.0,1160.96,,,,,,,,15.0,149.4,,886.3,,,,,21.9,,,5.9,,2.2,,
automatica,01/01/2012,31/10/2024,28/02/2018,Mensal,BRASILIA,Operante,A074,-1578944444.0,-4792583332.0,1160.96,,,,,,,,19.0,265.0,,885.6,,,,,21.5,,,7.1,,2.3,,
automatica,01/01/2012,31/10/2024,31/03/2018,Mensal,BRASILIA,Operante,A075,-1578944444.0,-4792583332.0,1160.96,,,,,,,,19.0,226.6,,886.2,,,,,22.0,,,5.5,,2.0,,
automatica,01/01/2012,31/10/2024,30/04/2018,Mensal,BRASILIA,Operante,A076,-1578944444.0,-4792583332.0,1160.96,,,,,,,,15.0,216.8,,888.1,,,,,20.5,,,6.1,,2.4,,
automatica,01/01/2012,31/10/2024,31/05/2018,Mensal,BRASILIA,Operante,A077,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,9.6,,889.2,,,,,19.7,,,5.4,,2.3,,
automatica,01/01/2012,31/10/2024,30/06/2018,Mensal,BRASILIA,Operante,A078,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.3,,,,,19.4,,,5.6,,2.1,,
automatica,01/01/2012,31/10/2024,31/07/2018,Mensal,BRASILIA,Operante,A079,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.1,,,,,19.3,,,5.7,,2.3,,
automatica,01/01/2012,31/10/2024,31/08/2018,Mensal,BRASILIA,Operante,A080,-1578944444.0,-4792583332.0,1160.96,,,,,,,,5.0,23.0,,889.5,,,,,21.6,,,6.3,,2.3,,
automatica,01/01/2012,31/10/2024,30/09/2018,Mensal,BRASILIA,Operante,A081,-1578944444.0,-4792583332.0,1160.96,,,,,,,,5.0,39.6,,886.8,,,,,23.3,,,4.7,,2.2,,
automatica,01/01/2012,31/10/2024,31/10/2018,Mensal,BRASILIA,Operante,A082,-1578944444.0,-4792583332.0,1160.96,,,,,,,,13.0,263.6,,886.1,,,,,23.1,,,6.3,,2.0,,
automatica,01/01/2012,31/10/2024,30/11/2018,Mensal,BRASILIA,Operante,A083,-1578944444.0,-4792583332.0,1160.96,,,,,,,,24.0,308.6,,885.8,,,,,20.9,,,5.0,,2.1,,
automatica,01/01/2012,31/10/2024,31/12/2018,Mensal,BRASILIA,Operante,A084,-1578944444.0,-4792583332.0,1160.96,,,,,,,,14.0,166.4,,886.8,,,,,21.7,,,5.5,,2.2,,
automatica,01/01/2012,31/10/2024,31/01/2019,Mensal,BRASILIA,Operante,A085,-1578944444.0,-4792583332.0,1160.96,,,,,,,,7.0,77.6,,887.9,,,,,22.9,,,6.6,,2.2,,
automatica,01/01/2012,31/10/2024,28/02/2019,Mensal,BRASILIA,Operante,A086,-1578944444.0,-4792583332.0,1160.96,,,,,,,,17.0,149.0,,886.6,,,,,22.3,,,7.1,,2.0,,
automatica,01/01/2012,31/10/2024,31/03/2019,Mensal,BRASILIA,Operante,A087,-1578944444.0,-4792583332.0,1160.96,,,,,,,,22.0,267.6,,887.3,,,,,21.7,,,5.7,,2.0,,
automatica,01/01/2012,31/10/2024,30/04/2019,Mensal,BRASILIA,Operante,A088,-1578944444.0,-4792583332.0,1160.96,,,,,,,,19.0,319.4,,887.4,,,,,21.6,,,5.3,,1.6,,
automatica,01/01/2012,31/10/2024,31/05/2019,Mensal,BRASILIA,Operante,A089,-1578944444.0,-4792583332.0,1160.96,,,,,,,,4.0,68.4,,888.1,,,,,21.2,,,4.6,,1.9,,
automatica,01/01/2012,31/10/2024,30/06/2019,Mensal,BRASILIA,Operante,A090,-1578944444.0,-4792583332.0,1160.96,,,,,,,,1.0,8.0,,890.6,,,,,19.4,,,6.0,,2.4,,
automatica,01/01/2012,31/10/2024,31/07/2019,Mensal,BRASILIA,Operante,A091,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.2,,,,,18.9,,,6.2,,2.5,,
automatica,01/01/2012,31/10/2024,31/08/2019,Mensal,BRASILIA,Operante,A092,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,890.8,,,,,21.4,,,6.6,,2.7,,
automatica,01/01/2012,31/10/2024,30/09/2019,Mensal,BRASILIA,Operante,A093,-1578944444.0,-4792583332.0,1160.96,,,,,,,,3.0,10.2,,888.1,,,,,24.5,,,6.4,,2.7,,
automatica,01/01/2012,31/10/2024,31/10/2019,Mensal,BRASILIA,Operante,A094,-1578944444.0,-4792583332.0,1160.96,,,,,,,,12.0,22.8,,886.3,,,,,24.4,,,5.5,,2.3,,
automatica,01/01/2012,31/10/2024,30/11/2019,Mensal,BRASILIA,Operante,A095,-1578944444.0,-4792583332.0,1160.96,,,,,,,,18.0,208.0,,885.2,,,,,22.8,,,7.3,,2.0,,
automatica,01/01/2012,31/10/2024,31/12/2019,Mensal,BRASILIA,Operante,A096,-1578944444.0,-4792583332.0,1160.96,,,,,,,,17.0,263.0,,885.9,,,,,22.4,,,4.9,,2.1,,
automatica,01/01/2012,31/10/2024,31/01/2020,Mensal,BRASILIA,Operante,A097,-1578944444.0,-4792583332.0,1160.96,,,,,,,,20.0,319.4,,885.8,,,,,22.2,,,6.2,,2.4,,
automatica,01/01/2012,31/10/2024,29/02/2020,Mensal,BRASILIA,Operante,A098,-1578944444.0,-4792583332.0,1160.96,,,,,,,,21.0,189.0,,886.9,,,,,21.8,,,6.8,,1.9,,
automatica,01/01/2012,31/10/2024,31/03/2020,Mensal,BRASILIA,Operante,A099,-1578944444.0,-4792583332.0,1160.96,,,,,,,,17.0,288.0,,886.7,,,,,21.6,,,5.0,,2.1,,
automatica,01/01/2012,31/10/2024,30/04/2020,Mensal,BRASILIA,Operante,A100,-1578944444.0,-4792583332.0,1160.96,,,,,,,,14.0,179.8,,888.1,,,,,21.3,,,5.0,,2.0,,
automatica,01/01/2012,31/10/2024,31/05/2020,Mensal,BRASILIA,Operante,A101,-1578944444.0,-4792583332.0,1160.96,,,,,,,,4.0,29.2,,889.3,,,,,19.2,,,4.6,,1.9,,
automatica,01/01/2012,31/10/2024,30/06/2020,Mensal,BRASILIA,Operante,A102,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.9,,,,,19.2,,,7.1,,2.3,,
automatica,01/01/2012,31/10/2024,31/07/2020,Mensal,BRASILIA,Operante,A103,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.7,,,,,19.3,,,6.7,,2.5,,
automatica,01/01/2012,31/10/2024,31/08/2020,Mensal,BRASILIA,Operante,A104,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.3,,,,,20.4,,,5.7,,2.8,,
automatica,01/01/2012,31/10/2024,30/09/2020,Mensal,BRASILIA,Operante,A105,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,29.8,,888.3,,,,,23.6,,,5.5,,2.5,,
automatica,01/01/2012,31/10/2024,31/10/2020,Mensal,BRASILIA,Operante,A106,-1578944444.0,-4792583332.0,1160.96,,,,,,,,12.0,165.6,,886.1,,,,,23.7,,,6.1,,2.3,,
automatica,01/01/2012,31/10/2024,30/11/2020,Mensal,BRASILIA,Operante,A107,-1578944444.0,-4792583332.0,1160.96,,,,,,,,19.0,229.6,,886.0,,,,,21.6,,,5.3,,2.2,,
automatica,01/01/2012,31/10/2024,31/12/2020,Mensal,BRASILIA,Operante,A108,-1578944444.0,-4792583332.0,1160.96,,,,,,,,16.0,154.6,,885.8,,,,,22.4,,,6.5,,2.0,,
automatica,01/01/2012,31/10/2024,31/01/2021,Mensal,BRASILIA,Operante,A109,-1578944444.0,-4792583332.0,1160.96,,,,,,,,13.0,261.6,,886.0,,,,,22.3,,,7.0,,2.0,,
